work,mode,fraction,seed,attack_f1,tpr,fpr
Wang / MANDA-BIM,manda,0.01,1,0.9002849002849004,0.8633879781420765,nan
Wang / MANDA-BIM,manda,0.01,2,0.7333333333333333,0.6062992125984252,nan
Wang / MANDA-CW,manda,1.0,0,0.975516693163752,0.9991315675206253,nan
Wang / MANDA-CW,manda,1.0,1,0.982535575679172,1.0,nan
Wang / MANDA-CW,manda,1.0,2,0.9780172413793103,1.0,nan
Wang / MANDA-CW,manda,0.5,0,0.9748575259805564,0.9990838295923041,nan
Wang / MANDA-CW,manda,0.5,1,0.9827959729833057,1.0,nan
Wang / MANDA-CW,manda,0.5,2,0.9788172992056487,0.9997746224926752,nan
Wang / MANDA-CW,manda,0.25,0,0.9878736604624929,1.0,nan
Wang / MANDA-CW,manda,0.25,1,0.9879162191192267,1.0,nan
Wang / MANDA-CW,manda,0.25,2,0.9844534800287013,1.0,nan
Wang / MANDA-CW,manda,0.1,0,0.9526184538653366,0.955,nan
Wang / MANDA-CW,manda,0.1,1,0.9553805774278215,0.9479166666666666,nan
Wang / MANDA-CW,manda,0.1,2,0.8259895444361463,0.7373333333333333,nan
Wang / MANDA-CW,manda,0.05,0,0.8313856427378965,0.7477477477477478,nan
Wang / MANDA-CW,manda,0.05,1,0.9611872146118722,0.9700460829493087,nan
Wang / MANDA-CW,manda,0.05,2,0.9621318373071528,0.9661971830985916,nan
Wang / MANDA-CW,manda,0.01,0,0.8507042253521127,0.7743589743589744,nan
Wang / MANDA-CW,manda,0.01,1,0.8977099236641221,0.8546511627906976,nan
Wang / MANDA-CW,manda,0.01,2,0.7662337662337663,0.6483516483516484,nan
